Year,Month,Day,Hour,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,2,24,6,0.6627331984715666,0.9818233012138655,0.8299193231011412,0.28041345480028035
2020,2,24,7,0.9379635873229938,0.9813748800734159,0.9766824085005903,0.3290936697033403
2020,2,24,8,0.9028433355810295,0.9843886872731823,0.9825659189295551,0.48051857042747015
2020,2,24,9,0.5221959991009215,0.9802694698202145,0.982664305391578,0.6449778089231488
2020,2,24,10,0.04411103618790739,0.9469298794477119,0.982900432900433,0.6798061200654053
2020,2,24,11,0.008260283209710046,0.8660472197889293,0.9827823691460055,0.47611539359962624
2020,2,24,12,0.10760845133737919,0.8216326700871814,0.9822510822510823,0.295596823172156
2020,2,24,13,0.16132838840188807,0.5894026613273265,0.9807752853207399,0.21220509226816164
2020,2,24,14,0.2320746235109013,0.5314416218245526,0.9881641086186541,0.250221910768512
2020,2,24,15,0.16942009440323666,0.4623430526008426,0.8567099567099568,0.3404344779257183
2020,2,24,16,0.3095077545515846,0.5690151420347891,0.763301849665486,0.3921163279607569
2020,2,24,17,0.6717239829175096,0.6378425728945063,0.769982290436836,0.5807054426535856
2020,2,24,18,0.8024275118004045,0.802392274642306,0.8862357339630068,0.7943938332165381
2020,2,24,19,0.8550797932119577,0.8455971301047012,0.9878787878787878,0.892723662695632
2020,2,24,20,0.9297033041132838,0.9357714929295456,0.980883510428965,0.958257416491474
2020,2,24,21,0.9829175095527085,0.984065406916114,0.9640791027154663,0.9853071712216773
2020,2,24,22,0.9830298943582827,0.9828348558795311,0.7432310114128295,0.9834968465311843
2020,2,24,23,0.9852775904697685,0.9819901555917073,0.6376524990161354,0.9753679046951648
2020,2,25,0,0.9855023600809171,0.9761293955700162,0.6653187721369539,0.8920112123335668
2020,2,25,1,0.9796583501910541,0.9630000417135944,0.7205037386855568,0.8993809857509928
2020,2,25,2,0.9794897729826926,0.9778187961456638,0.7205135773317591,0.9257416491473954
2020,2,25,3,0.9873567093728925,0.7760814249363867,0.7876918536009446,0.843167484232656
2020,2,25,4,0.9083501910541695,0.4971634755766904,0.8471959858323493,0.6830530249941603
2020,2,25,5,0.39767363452461224,0.6393129770992366,0.9408008658008656,0.5609553842560149
2020,2,25,6,0.031074398741290175,0.652869895298878,0.911038961038961,0.5460756832515767
2020,2,25,7,0.056922904023376034,0.4671714011596379,0.7371408894136167,0.5561317449194114
2020,2,25,8,0.41469993256911664,0.44521962207483423,0.21041912632821724,0.5562602195748657
2020,2,25,9,0.8825016857720835,0.6121782839027239,0.22633805588351044,0.46461107217939734
2020,2,25,10,0.9023376039559451,0.664299420181037,0.6384199134199134,0.5096005606166782
2020,2,25,11,0.8906495841762194,0.6026675843657449,0.7037190082644629,0.4158374211632796
2020,2,25,12,0.8543492919757248,0.7037604805406081,0.5185163321526958,0.3597991123569259
2020,2,25,13,0.7292650033715441,0.6242126559045593,0.5095336481700118,0.3194113524877365
2020,2,25,14,0.4149808945830523,0.4514558044466692,0.6067689885871703,0.28971034804952117
2020,2,25,15,0.11929647111710495,0.46085179159888207,0.7242424242424241,0.3994744218640505
2020,2,25,16,0.08619914587547763,0.47362657990239015,0.7492424242424243,0.6188156972669937
2020,2,25,17,0.3625533827826478,0.3861740291160889,0.8630755608028335,0.5638986218173324
2020,2,25,18,0.596145201168802,0.3033829725107412,0.9755214482487211,0.5756365335202056
2020,2,25,19,0.9776916160935041,0.36054102532015186,0.9485832349468712,0.6209647278673207
2020,2,25,20,0.9782535401213757,0.528125391064948,0.8099468713105077,0.7655687923382387
2020,2,25,21,0.9251517194875253,0.7412610019605389,0.6838941361668635,0.733041345480028
2020,2,25,22,0.7860193301865587,0.7188712301339005,0.6709464777646595,0.7473020322354589
2020,2,25,23,0.6843672735446168,0.7335439869853586,0.6441951987406532,0.644498948843728
2020,2,26,0,0.7482580355135984,0.662192883660785,0.6521841794569067,0.566853538892782
2020,2,26,1,0.561249719037986,0.4541359028907521,0.6317591499409682,0.4272950245269797
2020,2,26,2,0.20296695886716112,0.151441204688608,0.6746261314443133,0.26055828077551973
2020,2,26,3,0.018093953697460103,0.10066533183164393,0.38906926406926406,0.13103246904928756
2020,2,26,4,0.008934592043155764,0.07285279272514912,0.20381739472648563,0.11730903994393833
2020,2,26,5,0.0077545515846257585,0.14501731114170108,0.11423652105470286,0.13276103714085496
2020,2,26,6,0.00831647561249719,0.1781066199474409,0.07272727272727272,0.17223779490773183
2020,2,26,7,0.005956394695437176,0.16172360572310515,0.036747343565525385,0.1989371642139687
2020,2,26,8,0.022926500337154414,0.25957326992866975,0.008608815426997245,0.13575099275870123
