sim_id,battery_energy_capacity,battery_pmax,n_scenario,participation_mode,reserve_factor,wind_pmax
261,840.0,210.0,8,SelfSchedule,0.0,350.0
262,840.0,210.0,10,Bid,0.0,350.0
263,840.0,210.0,10,SelfSchedule,0.0,350.0
264,1120.0,280.0,3,Bid,0.0,350.0
265,1120.0,280.0,3,SelfSchedule,0.0,350.0
266,1120.0,280.0,5,Bid,0.0,350.0
267,1120.0,280.0,5,SelfSchedule,0.0,350.0
268,1120.0,280.0,8,Bid,0.0,350.0
269,1120.0,280.0,8,SelfSchedule,0.0,350.0
270,1120.0,280.0,10,Bid,0.0,350.0
271,1120.0,280.0,10,SelfSchedule,0.0,350.0
272,1400.0,350.0,3,Bid,0.0,350.0
273,1400.0,350.0,3,SelfSchedule,0.0,350.0
274,1400.0,350.0,5,Bid,0.0,350.0
275,1400.0,350.0,5,SelfSchedule,0.0,350.0
276,1400.0,350.0,8,Bid,0.0,350.0
277,1400.0,350.0,8,SelfSchedule,0.0,350.0
278,1400.0,350.0,10,Bid,0.0,350.0
279,1400.0,350.0,10,SelfSchedule,0.0,350.0
280,320.0,80.0,3,Bid,0.0,400.0
281,320.0,80.0,3,SelfSchedule,0.0,400.0
282,320.0,80.0,5,Bid,0.0,400.0
283,320.0,80.0,5,SelfSchedule,0.0,400.0
284,320.0,80.0,8,Bid,0.0,400.0
285,320.0,80.0,8,SelfSchedule,0.0,400.0
286,320.0,80.0,10,Bid,0.0,400.0
287,320.0,80.0,10,SelfSchedule,0.0,400.0
288,640.0,160.0,3,Bid,0.0,400.0
289,640.0,160.0,3,SelfSchedule,0.0,400.0
290,640.0,160.0,5,Bid,0.0,400.0
291,640.0,160.0,5,SelfSchedule,0.0,400.0
292,640.0,160.0,8,Bid,0.0,400.0
293,640.0,160.0,8,SelfSchedule,0.0,400.0
294,640.0,160.0,10,Bid,0.0,400.0
295,640.0,160.0,10,SelfSchedule,0.0,400.0
296,960.0,240.0,3,Bid,0.0,400.0
297,960.0,240.0,3,SelfSchedule,0.0,400.0
298,960.0,240.0,5,Bid,0.0,400.0
299,960.0,240.0,5,SelfSchedule,0.0,400.0
300,960.0,240.0,8,Bid,0.0,400.0
301,960.0,240.0,8,SelfSchedule,0.0,400.0
302,960.0,240.0,10,Bid,0.0,400.0
303,960.0,240.0,10,SelfSchedule,0.0,400.0
304,1280.0,320.0,3,Bid,0.0,400.0
305,1280.0,320.0,3,SelfSchedule,0.0,400.0
306,1280.0,320.0,5,Bid,0.0,400.0
307,1280.0,320.0,5,SelfSchedule,0.0,400.0
308,1280.0,320.0,8,Bid,0.0,400.0
309,1280.0,320.0,8,SelfSchedule,0.0,400.0
310,1280.0,320.0,10,Bid,0.0,400.0
311,1280.0,320.0,10,SelfSchedule,0.0,400.0
312,1600.0,400.0,3,Bid,0.0,400.0
