sim_id,Dispatch,Dispatch DA,Revenue DA,Revenue RT,Total Revenue
128,169481.25745899993,119882.690637,4245412.911871292,58421217.10363535,62666630.015506566
129,303104.65400899993,181214.87788399975,4315871.917543004,20621895.084518917,24937767.002061903
130,176081.47485199978,130849.68891200023,4796089.987613306,55598703.97463619,60394793.96224932
131,314244.21026000055,157710.51296099983,3627007.621265332,35982143.69849771,39609151.319762945
132,180010.3465920002,138727.85364400005,4885738.643425652,44782600.70283041,49668339.34625616
133,313987.78712999995,138866.81630599996,2957421.587977491,37586187.194419585,40543608.78239707
134,175077.90791900016,126144.06740299989,4323213.253436015,57451038.70094687,61774251.954382986
135,305965.59153699974,115978.05098800002,2550148.5420370353,54037878.80300509,56588027.34504217
136,162283.56239700023,116270.91200999991,3875760.0488372045,55771566.95186993,59647327.00070716
137,274130.98272300005,161990.91377599988,3807323.2942502755,17919366.498660516,21726689.792910833
138,169573.49789100018,126947.88462000016,4313398.700891096,40694404.77256658,45007803.47345766
139,285081.4548779998,148005.05052699996,3529073.9480449124,33659671.33301947,37188745.28106445
140,169069.80656099992,132049.18213200002,4947554.174651507,30686656.79140585,35634210.966057315
141,273766.12835600064,119992.14253399991,2693775.141926147,47239419.38045104,49933194.522377156
142,167794.45566500013,127462.51535600016,4644168.9810058605,47261180.042834744,51905349.02384062
143,267743.81710000074,102233.31562200007,2114257.3870987557,44783710.19461502,46897967.58171382
144,160960.14894700007,110701.96827999996,3865513.374565241,27772302.212449335,31637815.587014597
145,257786.90509400066,156678.4142429999,3523716.1503188014,10277239.522487989,13800955.672806801
146,166589.86564600034,123815.1192770001,4308973.697297096,34510830.155227,38819803.85252399
147,256002.89716000055,133238.17499599993,3150977.229522779,6849009.261333511,9999986.490856275
148,167142.3917360001,133598.11356300002,4834442.702145371,21070904.327107694,25905347.029253107
149,244032.38823700015,100739.85497299998,2116243.424088652,30888048.54367998,33004291.967768643
150,160484.83141200035,124831.65584900012,5040145.332355482,32025720.08146055,37065865.41381603
151,230535.27264300053,93994.33342700008,1988146.823810822,32365416.29485071,34353563.11866155
152,167078.32125800027,103894.77777999999,4427215.097035666,33712253.84476189,38139468.94179751
153,255608.42268600062,146324.46056299983,3135942.601579146,-27499965.90032612,-24364023.298747033
154,178310.29221800013,122117.74003899994,4379467.675442923,-8451797.537510961,-4072329.8620680002
155,252956.6170930003,125663.397037,2613817.6182396132,714170.3248205881,3327987.9430602114
156,187119.352992,137129.40064999982,5272705.278744276,15734292.736003555,21006998.014747854
157,239447.03635600026,92693.86225899997,1878273.8581080053,25460526.711220205,27338800.569328252
158,174928.10259900053,134095.28733999998,5067763.138731593,10557957.312444229,15625720.451175824
159,229692.2357860002,80067.02563500003,1660483.5105739497,29839574.444141913,31500057.954715848
160,220318.22918100015,155769.48357000004,5398517.128704908,73636428.19476448,79034945.3234694
161,423200.49694799894,243708.49176800004,5197509.718405756,41353972.08503022,46551481.80343618
162,225101.2487710003,162879.58688900043,5507755.332857364,64904225.07273165,70411980.40558885
163,446075.80257999984,223315.69238300037,4614723.971781847,47104826.377724946,51719550.349507
164,234411.86642300073,174223.53115500032,5910864.666113073,75643326.28478284,81554190.9508959
165,449745.21108199935,187269.53252800004,3811297.89972879,55860330.23226523,59671628.13199419
166,234603.20507400043,161008.18855400002,5224893.951984787,80288707.43921405,85513601.39119852
167,449216.60465399944,180081.10132600015,3420328.911461535,62936145.66833146,66356474.579792894
168,208784.97476000048,152750.63333799993,5600658.747680038,60132465.498014264,65733124.24569423
169,381960.26648699975,228960.54060700038,4921174.353150888,23102440.677621376,28023615.030772243
170,216569.76528600036,161106.36227300018,6045362.942047912,59768353.706896976,65813716.64894472
171,397714.74385999894,200360.0065050003,4159035.8586303005,34147647.24805157,38306683.10668192
172,217588.84677700055,162482.8974369999,5535617.334821786,67026379.10596455,72561996.44078618
173,392803.3906379993,162992.7220440002,3649806.93454373,53729587.868371695,57379394.80291534
174,222878.2089660003,164194.07154100004,5516869.380590755,76442168.9426108,81959038.32320161
175,385544.92130899907,149086.69762500018,3057351.9424566594,41438421.80967184,44495773.752128586
176,200198.40735299993,147235.09074200012,4816205.788056956,41658199.645849824,46474405.43390673
177,344747.84268799925,212819.96079200026,4400344.534122291,8518690.052208185,12919034.586330462
178,201702.4692910003,160628.69926900018,5498103.285044583,19942987.50399615,25441090.789040733
179,348997.71066899947,183133.23000299992,3756926.8435189747,28034604.3025275,31791531.146046445
180,213296.64493700047,165277.65632499996,5818509.127338282,42151214.72483601,47969723.85217415
181,334182.42593899934,148459.9632039998,2942967.8134180596,33080711.61219498,36023679.425613046
182,213401.0153220002,170309.81457500026,5833297.238551165,41591006.52549364,47424303.76404479
183,329721.35403999937,137693.99691300016,2568715.5384048913,41495478.187224515,44064193.725629516
184,192402.04733000023,136875.17932500003,5541543.636140864,7233994.851880195,12775538.488021055
185,318836.84688500053,191218.32253800018,3873345.94916878,-17194113.693222497,-13320767.744053712
186,199767.74377200045,147659.2626359998,5078512.549369177,-26992762.500585712,-21914249.951216653
187,313632.47707599914,164321.3935370002,3726867.895409632,7950659.815488962,11677527.710898614
188,207278.08304300022,162243.5368629999,5864884.699001997,2150679.878259446,8015564.577261438
189,305426.01825399924,134485.48459800013,2552315.2703464488,16441291.571478358,18993606.841824815
190,212532.72606699986,170164.60051200012,6442745.9576751655,29757821.66228002,36200567.61995518
191,296581.53968299995,114447.838695,2351367.0573944137,27692510.75724571,30043877.814640127
192,206776.76430600064,137178.7244559999,4686099.976105002,11124503.854462123,15810603.83056707
193,315477.3488469994,184358.61456899997,3572047.6014998592,-31836781.63841222,-28264734.036912344
194,210566.0623990002,142103.3846900001,5003378.552192114,-18607294.056694694,-13603915.5045026
195,305929.5217449993,142668.06606500005,2725512.8369289096,-6378044.318137546,-3652531.4812086555
196,211427.6729330002,164231.35473100017,5800100.623913064,-30402347.089897506,-24602246.465984456
197,297514.19984899985,108296.52317500005,2029725.0299761635,18695924.960019223,20725649.989995368
198,216474.76988000012,159863.23863399992,6334154.886371097,29880147.616914347,36214302.503285445
